15
10, 10, 10, 11, -1, 11, 10, 10, 10, 10, 10, 10, 11, 1, 1
10, 10, 10, 11, 11, 11, 10, 10, 10, 10, 10, 10, 11, -1, 1
10, 10, 10, 10, 10, 10, 11, 11, 11, 10, 10, 10, 11, 11, 11
10, 10, 10, 10, 10, 10, 11, -1, 11, 10, 10, 10, 10, 10, 10
10, 11, 11, 11, 10, 10, 11, 11, 11, 11, 12, 12, 11, 10, 10
10, 11, -1, 11, 10, 10, 10, 10, 10, 11, -1, -1, 11, 10, 10
11, 13, 3, 12, 10, 10, 10, 10, 10, 12, 3, 4, 12, 11, 10
2, -1, -1, 12, 10, 10, 10, 10, 10, 12, -1, 3, -1, 11, 10
3, -1, -1, 12, 10, 10, 10, 10, 10, 12, -1, 13, 11, 11, 10
-1, 4, 3, 11, 11, 11, 11, 10, 10, 11, 11, 11, 10, 10, 10
2, -1, 1, 0, 1, -1, 12, 11, 12, 11, 11, 10, 10, 10, 10
1, 1, 1, 0, 1, 1, 2, -1, 3, -1, 12, 10, 10, 10, 10
0, 0, 1, 1, 1, 0, 1, 1, 3, -1, 12, 10, 10, 10, 10
0, 0, 1, -1, 2, 1, 1, 0, 1, 1, 12, 11, 11, 10, 10
0, 0, 1, 1, 2, -1, 1, 0, 0, 0, 1, -1, 11, 10, 10
